batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,max_total_run_x,crr,rrr,results
Kolkata Knight Riders,Lucknow Super Giants,Kolkata,162,119,3,177,90.0,8.17,0
Kolkata Knight Riders,Lucknow Super Giants,Kolkata,158,118,2,177,57.0,8.03,0
Kolkata Knight Riders,Lucknow Super Giants,Kolkata,152,117,1,177,50.0,7.79,0
Kolkata Knight Riders,Lucknow Super Giants,Kolkata,148,116,0,177,43.5,7.66,0
Mumbai Indians,Sunrisers Hyderabad,Mumbai,201,125,9,201,-0.0,9.65,1
Mumbai Indians,Sunrisers Hyderabad,Mumbai,201,124,8,201,-0.0,9.73,1
Mumbai Indians,Sunrisers Hyderabad,Mumbai,188,119,3,201,78.0,9.48,1
Mumbai Indians,Sunrisers Hyderabad,Mumbai,184,118,2,201,51.0,9.36,1
Mumbai Indians,Sunrisers Hyderabad,Mumbai,184,117,1,201,34.0,9.44,1
Mumbai Indians,Sunrisers Hyderabad,Mumbai,184,116,0,201,25.5,9.52,1
Gujarat Titans,Royal Challengers Bangalore,Bengaluru,196,119,3,198,12.0,9.88,1
Gujarat Titans,Royal Challengers Bangalore,Bengaluru,196,119,2,198,12.0,9.88,1
Gujarat Titans,Royal Challengers Bangalore,Bengaluru,192,118,1,198,18.0,9.76,1
Gujarat Titans,Royal Challengers Bangalore,Bengaluru,191,117,0,198,14.0,9.79,1
Gujarat Titans,Chennai Super Kings,Chennai,170,119,3,173,18.0,8.57,0
Gujarat Titans,Chennai Super Kings,Chennai,170,118,2,173,9.0,8.64,0
Gujarat Titans,Chennai Super Kings,Chennai,169,117,1,173,8.0,8.67,0
Gujarat Titans,Chennai Super Kings,Chennai,169,116,0,173,6.0,8.74,0
Lucknow Super Giants,Mumbai Indians,Chennai,183,125,9,183,-0.0,8.78,0
Lucknow Super Giants,Mumbai Indians,Chennai,183,124,8,183,-0.0,8.85,0
Lucknow Super Giants,Mumbai Indians,Chennai,173,119,3,183,60.0,8.72,0
Lucknow Super Giants,Mumbai Indians,Chennai,173,118,2,183,30.0,8.8,0
Lucknow Super Giants,Mumbai Indians,Chennai,173,117,1,183,20.0,8.87,0
Lucknow Super Giants,Mumbai Indians,Chennai,171,116,0,183,18.0,8.84,0
Mumbai Indians,Gujarat Titans,Ahmedabad,234,125,9,234,-0.0,11.23,0
Mumbai Indians,Gujarat Titans,Ahmedabad,221,119,3,234,78.0,11.14,0
Mumbai Indians,Gujarat Titans,Ahmedabad,219,118,2,234,45.0,11.14,0
Mumbai Indians,Gujarat Titans,Ahmedabad,218,117,1,234,32.0,11.18,0
Mumbai Indians,Gujarat Titans,Ahmedabad,217,116,0,234,25.5,11.22,0
Chennai Super Kings,Gujarat Titans,Ahmedabad,215,125,9,215,-0.0,10.32,1
Chennai Super Kings,Gujarat Titans,Ahmedabad,215,124,8,215,-0.0,10.4,1
Chennai Super Kings,Gujarat Titans,Ahmedabad,205,119,3,215,60.0,10.34,1
Chennai Super Kings,Gujarat Titans,Ahmedabad,199,118,2,215,48.0,10.12,1
Chennai Super Kings,Gujarat Titans,Ahmedabad,198,117,1,215,34.0,10.15,1
Chennai Super Kings,Gujarat Titans,Ahmedabad,197,116,0,215,27.0,10.19,1
