,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
3879,Chennai Super Kings,Kolkata Knight Riders,Kolkata,145,119,1,150,30.0,7.31,1
3880,Chennai Super Kings,Kolkata Knight Riders,Kolkata,145,118,0,150,15.0,7.37,1
3881,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,179,125,9,179,-0.0,8.59,0
3882,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,179,124,8,179,-0.0,8.66,0
3883,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,179,123,7,179,-0.0,8.73,0
3884,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,173,119,3,179,36.0,8.72,0
3885,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,172,118,2,179,21.0,8.75,0
3886,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,172,117,1,179,14.0,8.82,0
3887,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,172,116,0,179,10.5,8.9,0
3888,Punjab Kings,Delhi Capitals,Delhi,116,119,3,119,18.0,5.85,0
3889,Punjab Kings,Delhi Capitals,Delhi,115,118,2,119,12.0,5.85,0
3890,Punjab Kings,Delhi Capitals,Delhi,114,117,1,119,10.0,5.85,0
3891,Punjab Kings,Delhi Capitals,Delhi,110,116,0,119,13.5,5.69,0
3892,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,198,125,9,198,-0.0,9.5,0
3893,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,198,124,8,198,-0.0,9.58,0
3894,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,198,123,7,198,-0.0,9.66,0
3895,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,198,122,6,198,-0.0,9.74,0
3896,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,198,121,5,198,-0.0,9.82,0
3897,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,196,119,3,198,12.0,9.88,0
3898,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,196,118,2,198,6.0,9.97,0
3899,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,196,117,1,198,4.0,10.05,0
3900,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,195,116,0,198,4.5,10.09,0
3901,Mumbai Indians,Kolkata Knight Riders,Mumbai,62,119,3,68,36.0,3.13,1
3902,Mumbai Indians,Kolkata Knight Riders,Mumbai,58,119,2,68,60.0,2.92,1
3903,Mumbai Indians,Kolkata Knight Riders,Mumbai,57,118,1,68,33.0,2.9,1
3904,Mumbai Indians,Kolkata Knight Riders,Mumbai,56,117,0,68,24.0,2.87,1
3905,Sunrisers Hyderabad,Delhi Capitals,Delhi,195,125,9,195,-0.0,9.36,0
3906,Sunrisers Hyderabad,Delhi Capitals,Delhi,184,119,3,195,66.0,9.28,0
3907,Sunrisers Hyderabad,Delhi Capitals,Delhi,183,118,2,195,36.0,9.31,0
3908,Sunrisers Hyderabad,Delhi Capitals,Delhi,179,117,1,195,32.0,9.18,0
3909,Sunrisers Hyderabad,Delhi Capitals,Delhi,175,116,0,195,30.0,9.05,0
3910,Mumbai Indians,Chennai Super Kings,Mumbai,157,125,9,157,-0.0,7.54,1
3911,Mumbai Indians,Chennai Super Kings,Mumbai,157,124,8,157,-0.0,7.6,1
3912,Mumbai Indians,Chennai Super Kings,Mumbai,149,119,3,157,48.0,7.51,1
3913,Mumbai Indians,Chennai Super Kings,Mumbai,145,118,2,157,36.0,7.37,1
3914,Mumbai Indians,Chennai Super Kings,Mumbai,145,117,1,157,24.0,7.44,1
3915,Mumbai Indians,Chennai Super Kings,Mumbai,145,116,0,157,18.0,7.5,1
3916,Delhi Capitals,Kolkata Knight Riders,Kolkata,129,119,3,134,30.0,6.5,0
3917,Delhi Capitals,Kolkata Knight Riders,Kolkata,128,119,2,134,36.0,6.45,0
3918,Delhi Capitals,Kolkata Knight Riders,Kolkata,124,118,1,134,30.0,6.31,0
3919,Delhi Capitals,Kolkata Knight Riders,Kolkata,124,117,0,134,20.0,6.36,0
3920,Punjab Kings,Punjab Kings,Chandigarh,132,119,3,144,72.0,6.66,0
3921,Punjab Kings,Punjab Kings,Chandigarh,132,119,2,144,72.0,6.66,0
3922,Punjab Kings,Punjab Kings,Chandigarh,132,118,1,144,36.0,6.71,0
3923,Punjab Kings,Punjab Kings,Chandigarh,132,117,0,144,24.0,6.77,0
3924,Rajasthan Royals,Delhi Capitals,Jaipur,157,125,9,157,-0.0,7.54,1
3925,Rajasthan Royals,Delhi Capitals,Jaipur,157,124,8,157,-0.0,7.6,1
3926,Rajasthan Royals,Delhi Capitals,Jaipur,152,119,3,157,30.0,7.66,1
3927,Rajasthan Royals,Delhi Capitals,Jaipur,150,118,2,157,21.0,7.63,1
3928,Rajasthan Royals,Delhi Capitals,Jaipur,150,117,1,157,14.0,7.69,1
3929,Rajasthan Royals,Delhi Capitals,Jaipur,150,116,0,157,10.5,7.76,1
3930,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,205,125,9,205,-0.0,9.84,0
3931,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,205,124,8,205,-0.0,9.92,0
3932,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,205,123,7,205,-0.0,10.0,0
3933,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,200,119,3,205,30.0,10.08,0
3934,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,199,118,2,205,18.0,10.12,0
3935,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,199,117,1,205,12.0,10.21,0
3936,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,199,116,0,205,9.0,10.29,0
3937,Punjab Kings,Chennai Super Kings,Chennai,182,125,9,182,-0.0,8.74,0
